datetime,h2o_in(mmol/mol),h2o_out(mmol/mol)
2025-02-01 01:56:38,9.588,
2025-02-01 01:58:54,,9.919
2025-02-01 03:56:37,11.14,
2025-02-01 03:58:53,,11.33
2025-02-01 05:56:37,13.05,
2025-02-01 05:58:53,,12.95
2025-02-01 07:56:37,12.76,
2025-02-01 07:58:53,,13.1
2025-02-01 09:56:37,13.76,
2025-02-01 09:58:53,,13.65
2025-02-01 11:56:37,14.37,
2025-02-01 11:58:53,,14.68
2025-02-01 13:56:37,16.62,
2025-02-01 13:58:53,,16.72
2025-02-01 15:56:37,16.92,
2025-02-01 15:58:53,,17.13
2025-02-01 17:56:37,4.149,
2025-02-01 17:58:53,,3.412
2025-02-01 19:56:37,19.25,
2025-02-01 19:58:53,,19.05
2025-02-01 21:56:37,14.34,
2025-02-01 21:58:53,,14.13
2025-02-01 23:56:37,11.35,
2025-02-01 23:58:53,,11.34
2025-02-02 01:56:37,10.28,
2025-02-02 01:58:53,,10.54
2025-02-02 03:56:37,12.16,
2025-02-02 03:58:53,,12.36
2025-02-02 05:56:37,12.97,
2025-02-02 05:58:53,,12.9
2025-02-02 07:56:37,13.3,
2025-02-02 07:58:53,,13.2
2025-02-02 09:56:38,14.19,
2025-02-02 09:58:53,,14.4
2025-02-02 11:56:37,15.93,
2025-02-02 11:58:53,,15.92
2025-02-02 13:56:37,17.17,
2025-02-02 13:58:53,,17.67
2025-02-02 15:56:37,18.2,
2025-02-02 15:58:53,,18.52
2025-02-02 17:56:38,19.58,
2025-02-02 17:58:53,,20.29
2025-02-02 19:56:38,16.42,
2025-02-02 19:58:53,,16.61
2025-02-02 21:56:38,12.48,
2025-02-02 21:58:53,,12.53
2025-02-02 23:56:37,10.99,
2025-02-02 23:58:53,,10.98
2025-02-03 01:56:38,11.52,
2025-02-03 01:58:53,,11.87
2025-02-03 03:56:37,10.62,
2025-02-03 03:58:53,,10.8
2025-02-03 05:56:37,10.68,
2025-02-03 05:58:53,,10.82
2025-02-03 07:56:37,12.17,
2025-02-03 07:58:53,,12.42
2025-02-03 09:56:38,12.77,
2025-02-03 09:58:54,,12.76
2025-02-03 11:56:38,14.82,
2025-02-03 11:58:53,,14.68
2025-02-03 13:56:38,14.84,
2025-02-03 13:58:53,,15.17
2025-02-03 15:56:37,16.26,
2025-02-03 15:58:53,,16.55
2025-02-03 17:56:38,16.02,
2025-02-03 17:58:53,,16.02
2025-02-03 19:56:38,14.81,
2025-02-03 19:58:53,,14.74
2025-02-03 21:56:38,12.87,
2025-02-03 21:58:54,,13.01
2025-02-03 23:56:38,11.99,
2025-02-03 23:58:53,,12.11
2025-02-04 01:56:38,11.48,
2025-02-04 01:58:54,,11.68
2025-02-04 03:56:38,11.09,
2025-02-04 03:58:53,,11.0
2025-02-04 05:56:38,10.62,
2025-02-04 05:58:53,,10.72
2025-02-04 07:56:37,10.42,
2025-02-04 07:58:53,,10.37
2025-02-04 09:56:37,12.21,
2025-02-04 09:58:53,,12.14
2025-02-04 11:56:38,14.66,
2025-02-04 11:58:53,,14.95
2025-02-04 13:56:37,14.38,
2025-02-04 13:58:53,,14.59
2025-02-04 15:56:37,14.34,
2025-02-04 15:58:53,,14.83
2025-02-04 17:56:37,12.7,
2025-02-04 17:58:53,,12.71
2025-02-04 19:56:37,11.21,
2025-02-04 19:58:53,,11.26
2025-02-04 21:56:37,10.85,
2025-02-04 21:58:53,,10.16
2025-02-04 23:56:38,9.655,
2025-02-04 23:58:53,,9.783
2025-02-05 01:56:38,9.36,
2025-02-05 01:58:53,,9.315
2025-02-05 03:56:37,9.221,
2025-02-05 03:58:53,,9.197
2025-02-05 05:56:37,9.083,
2025-02-05 05:58:53,,9.233
2025-02-05 07:56:37,8.749,
2025-02-05 07:58:53,,8.706
2025-02-05 09:56:38,9.443,
2025-02-05 09:58:53,,9.774
2025-02-05 11:56:37,11.37,
2025-02-05 11:58:53,,11.74
2025-02-05 13:56:37,12.59,
2025-02-05 13:58:53,,13.02
2025-02-05 15:56:38,13.22,
2025-02-05 15:58:53,,12.81
2025-02-05 17:56:37,11.87,
2025-02-05 17:58:53,,11.84
2025-02-05 19:56:37,11.19,
2025-02-05 19:58:53,,11.12
2025-02-05 21:56:38,10.23,
2025-02-05 21:58:53,,10.18
2025-02-05 23:56:37,9.657,
2025-02-05 23:58:53,,9.609
2025-02-06 01:56:38,8.921,
2025-02-06 01:58:53,,9.104
2025-02-06 03:56:37,8.756,
2025-02-06 03:58:53,,8.854
2025-02-06 05:56:37,8.486,
2025-02-06 05:58:53,,8.667
2025-02-06 07:56:38,8.298,
2025-02-06 07:58:54,,8.285
2025-02-06 09:56:38,8.925,
2025-02-06 09:58:53,,9.257
2025-02-06 11:56:37,10.8,
2025-02-06 11:58:53,,11.18
2025-02-06 13:56:37,12.06,
2025-02-06 13:58:53,,12.03
2025-02-06 15:56:38,12.31,
2025-02-06 15:58:53,,12.29
2025-02-06 17:56:38,11.73,
2025-02-06 17:58:53,,11.66
2025-02-06 19:56:38,10.56,
2025-02-06 19:58:53,,10.79
2025-02-06 21:56:37,10.12,
2025-02-06 21:58:53,,10.08
2025-02-06 23:56:37,9.593,
2025-02-06 23:58:53,,9.702
2025-02-07 01:56:38,9.183,
2025-02-07 01:58:53,,9.357
2025-02-07 03:56:37,8.971,
2025-02-07 03:58:53,,9.092
2025-02-07 05:56:37,8.584,
2025-02-07 05:58:53,,8.728
2025-02-07 07:56:37,8.367,
2025-02-07 07:58:53,,8.476
2025-02-07 09:56:37,8.861,
2025-02-07 09:58:53,,9.086
2025-02-07 11:56:37,10.25,
2025-02-07 11:58:53,,10.42
2025-02-07 13:56:37,11.46,
2025-02-07 13:58:53,,11.52
2025-02-07 15:56:38,11.27,
2025-02-07 15:58:53,,11.68
2025-02-07 17:56:37,10.59,
2025-02-07 17:58:53,,10.48
2025-02-07 19:56:38,9.679,
2025-02-07 19:58:53,,9.797
2025-02-07 21:56:37,9.888,
2025-02-07 21:58:53,,9.934
2025-02-07 23:56:37,9.443,
2025-02-07 23:58:53,,9.405
2025-02-08 01:56:38,9.243,
2025-02-08 01:58:53,,9.217
2025-02-08 03:56:37,8.909,
2025-02-08 03:58:53,,8.981
2025-02-08 05:56:37,8.684,
2025-02-08 05:58:53,,8.727
2025-02-08 07:56:37,8.963,
2025-02-08 07:58:53,,9.24
2025-02-08 09:56:37,9.507,
2025-02-08 09:58:53,,9.717
2025-02-08 11:56:37,11.57,
2025-02-08 11:58:53,,11.74
2025-02-08 13:56:37,11.89,
2025-02-08 13:58:53,,12.0
2025-02-08 15:56:37,11.88,
2025-02-08 15:58:53,,12.25
2025-02-08 17:56:37,11.05,
2025-02-08 17:58:53,,11.06
2025-02-08 19:56:38,10.05,
2025-02-08 19:58:53,,10.12
2025-02-08 21:56:38,9.6,
2025-02-08 21:58:53,,9.801
2025-02-08 23:56:37,9.687,
2025-02-08 23:58:53,,9.629
2025-02-09 01:56:38,9.227,
2025-02-09 01:58:53,,9.211
2025-02-09 03:56:37,9.015,
2025-02-09 03:58:52,,9.004
2025-02-09 05:56:37,8.613,
2025-02-09 05:58:53,,8.615
2025-02-09 07:56:37,7.95,
2025-02-09 07:58:53,,8.135
2025-02-09 09:56:37,8.653,
2025-02-09 09:58:53,,8.754
2025-02-09 11:56:37,9.56,
2025-02-09 11:58:53,,9.604
2025-02-09 13:56:38,10.55,
2025-02-09 13:58:53,,10.75
2025-02-09 15:56:38,4.648,
2025-02-09 15:58:54,,4.475
2025-02-09 17:56:37,4.946,
2025-02-09 17:58:52,,5.223
2025-02-09 19:56:38,-0.1771,
2025-02-09 19:58:53,,-0.1226
2025-02-09 21:56:38,-0.757,
2025-02-09 21:58:53,,-0.7932
2025-02-09 23:56:37,-0.9199,
2025-02-09 23:58:53,,-0.8672
2025-02-10 01:56:37,-0.895,
2025-02-10 01:58:53,,-0.8063
2025-02-10 03:56:38,-0.6088,
2025-02-10 03:58:53,,-0.5308
2025-02-10 05:56:38,0.7264,
2025-02-10 05:58:53,,0.9029
2025-02-10 07:56:37,-1.172,
2025-02-10 07:58:53,,-1.089
2025-02-10 09:56:38,-1.445,
2025-02-10 09:58:53,,-1.49
2025-02-10 11:56:37,-1.08,
2025-02-10 11:58:53,,-1.105
2025-02-10 13:56:37,2.184,
2025-02-10 13:58:53,,2.161
2025-02-10 15:56:37,1.681,
2025-02-10 15:58:53,,1.676
2025-02-10 17:56:37,7.856,
2025-02-10 17:58:53,,7.963
2025-02-10 19:56:38,-1.266,
2025-02-10 19:58:53,,-1.304
2025-02-10 21:56:38,-1.583,
2025-02-10 21:58:53,,-1.534
2025-02-10 23:56:37,-1.291,
2025-02-10 23:58:53,,-1.232
2025-02-11 01:56:37,2.178,
2025-02-11 01:58:53,,2.363
2025-02-11 03:56:38,4.806,
2025-02-11 03:58:53,,4.725
2025-02-11 05:56:37,4.931,
2025-02-11 05:58:53,,4.901
2025-02-11 07:56:37,-1.27,
2025-02-11 07:58:53,,-1.263
2025-02-11 09:56:37,6.092,
2025-02-11 09:58:53,,6.737
2025-02-11 11:56:37,10.26,
2025-02-11 11:58:53,,11.3
2025-02-11 13:56:38,17.29,
2025-02-11 13:58:54,,17.41
2025-02-11 15:56:38,13.68,
2025-02-11 15:58:53,,13.4
2025-02-11 17:56:37,23.65,
2025-02-11 17:58:53,,23.46
2025-02-11 19:56:38,5.089,
2025-02-11 19:58:53,,4.94
2025-02-11 21:56:37,1.068,
2025-02-11 21:58:53,,1.899
2025-02-11 23:56:38,10.11,
2025-02-11 23:58:53,,7.179
2025-02-12 01:56:37,-0.02993,
2025-02-12 01:58:53,,-0.6985
2025-02-12 03:56:37,3.831,
2025-02-12 03:58:53,,1.972
2025-02-12 05:56:37,1.052,
2025-02-12 05:58:53,,1.469
2025-02-12 07:56:38,-1.19,
2025-02-12 07:58:53,,-1.064
2025-02-12 09:56:38,17.23,
2025-02-12 09:58:53,,17.55
2025-02-12 11:56:38,19.78,
2025-02-12 11:58:54,,20.35
2025-02-12 13:56:38,20.14,
2025-02-12 13:58:54,,18.93
2025-02-12 15:56:38,18.14,
2025-02-12 15:58:53,,18.14
2025-02-12 17:56:37,17.45,
2025-02-12 17:58:53,,17.35
2025-02-12 19:56:38,16.0,
2025-02-12 19:58:53,,15.97
2025-02-12 21:56:37,15.63,
2025-02-12 21:58:53,,15.57
2025-02-12 23:56:38,15.31,
2025-02-12 23:58:54,,15.29
2025-02-13 01:56:38,15.09,
2025-02-13 01:58:54,,14.98
2025-02-13 03:56:38,14.94,
2025-02-13 03:58:54,,14.85
2025-02-13 05:56:38,14.98,
2025-02-13 05:58:53,,15.09
2025-02-13 07:56:37,15.01,
2025-02-13 07:58:53,,15.03
2025-02-13 09:56:38,17.96,
2025-02-13 09:58:54,,18.09
2025-02-13 11:56:37,22.02,
2025-02-13 11:58:53,,22.04
2025-02-13 13:56:38,22.24,
2025-02-13 13:58:53,,22.31
2025-02-13 15:56:38,21.03,
2025-02-13 15:58:53,,21.01
2025-02-13 17:56:37,21.5,
2025-02-13 17:58:53,,21.59
2025-02-13 19:56:37,19.45,
2025-02-13 19:58:53,,19.49
2025-02-13 21:56:38,17.75,
2025-02-13 21:58:53,,17.64
2025-02-13 23:56:38,16.45,
2025-02-13 23:58:53,,16.49
2025-02-14 01:56:38,15.59,
2025-02-14 01:58:53,,15.59
2025-02-14 03:56:38,15.19,
2025-02-14 03:58:53,,15.16
2025-02-14 05:56:38,14.91,
2025-02-14 05:58:53,,14.85
2025-02-14 07:56:37,15.02,
2025-02-14 07:58:53,,15.05
2025-02-14 09:56:37,15.7,
2025-02-14 09:58:53,,15.74
2025-02-14 11:56:37,17.43,
2025-02-14 11:58:53,,17.47
2025-02-14 13:56:38,18.04,
2025-02-14 13:58:53,,17.95
2025-02-14 15:56:37,20.8,
2025-02-14 15:58:53,,20.78
2025-02-14 17:56:38,20.84,
2025-02-14 17:58:53,,20.78
2025-02-14 19:56:38,18.28,
2025-02-14 19:58:53,,18.25
2025-02-14 21:56:37,17.31,
2025-02-14 21:58:53,,17.29
2025-02-14 23:56:38,16.03,
2025-02-14 23:58:53,,16.01
2025-02-15 01:56:37,14.35,
2025-02-15 01:58:53,,14.37
2025-02-15 03:56:37,13.89,
2025-02-15 03:58:53,,13.9
2025-02-15 05:56:38,14.05,
2025-02-15 05:58:54,,14.04
2025-02-15 07:56:38,13.95,
2025-02-15 07:58:53,,13.93
2025-02-15 09:56:38,16.73,
2025-02-15 09:58:53,,16.77
2025-02-15 11:56:38,19.84,
2025-02-15 11:58:53,,19.91
2025-02-15 13:56:38,21.9,
2025-02-15 13:58:53,,21.88
2025-02-15 15:56:38,21.58,
2025-02-15 15:58:53,,21.55
2025-02-15 17:56:39,22.81,
2025-02-15 17:58:54,,22.73
2025-02-15 19:56:38,18.01,
2025-02-15 19:58:54,,17.95
2025-02-15 21:56:38,16.0,
2025-02-15 21:58:53,,15.96
2025-02-15 23:56:38,14.98,
2025-02-15 23:58:53,,14.92
2025-02-16 01:56:38,14.49,
2025-02-16 01:58:54,,14.49
2025-02-16 03:56:37,14.38,
2025-02-16 03:58:53,,14.39
2025-02-16 05:56:38,14.32,
2025-02-16 05:58:53,,14.38
2025-02-16 07:56:38,14.16,
2025-02-16 07:58:53,,14.19
2025-02-16 09:56:38,17.88,
2025-02-16 09:58:53,,17.94
2025-02-16 11:56:38,21.46,
2025-02-16 11:58:53,,21.55
2025-02-16 13:56:38,23.45,
2025-02-16 13:58:53,,23.47
2025-02-16 15:56:38,22.3,
2025-02-16 15:58:54,,22.29
2025-02-16 17:56:38,23.59,
2025-02-16 17:58:53,,23.5
2025-02-16 19:56:38,19.82,
2025-02-16 19:58:53,,19.78
2025-02-16 21:56:38,17.53,
2025-02-16 21:58:53,,17.51
2025-02-16 23:56:38,16.06,
2025-02-16 23:58:53,,16.06
2025-02-17 01:56:38,15.54,
2025-02-17 01:58:53,,15.55
2025-02-17 03:56:37,15.36,
2025-02-17 03:58:53,,15.36
2025-02-17 05:56:38,15.3,
2025-02-17 05:58:53,,15.3
2025-02-17 07:56:38,15.61,
2025-02-17 07:58:53,,15.62
2025-02-17 09:56:37,17.74,
2025-02-17 09:58:53,,17.83
2025-02-17 11:56:38,20.71,
2025-02-17 11:58:53,,20.79
2025-02-17 13:56:37,21.96,
2025-02-17 13:58:53,,21.96
2025-02-17 15:56:38,20.42,
2025-02-17 15:58:53,,20.38
2025-02-17 17:56:38,20.68,
2025-02-17 17:58:53,,20.67
2025-02-17 19:56:37,18.51,
2025-02-17 19:58:53,,18.5
2025-02-17 21:56:37,16.54,
2025-02-17 21:58:53,,16.53
2025-02-17 23:56:38,15.66,
2025-02-17 23:58:53,,15.65
2025-02-18 01:56:38,15.2,
2025-02-18 01:58:53,,15.18
2025-02-18 03:56:38,15.06,
2025-02-18 03:58:53,,15.04
2025-02-18 05:56:38,14.91,
2025-02-18 05:58:53,,14.92
2025-02-18 07:56:38,14.99,
2025-02-18 07:58:53,,15.04
2025-02-18 09:56:38,16.57,
2025-02-18 09:58:53,,16.66
2025-02-18 11:56:38,19.3,
2025-02-18 11:58:54,,19.44
2025-02-18 13:56:38,22.3,
2025-02-18 13:58:53,,22.34
2025-02-18 15:56:38,22.21,
2025-02-18 15:58:53,,22.25
2025-02-18 17:56:38,23.09,
2025-02-18 17:58:53,,23.05
2025-02-18 19:56:38,19.36,
2025-02-18 19:58:53,,19.28
2025-02-18 21:56:38,16.89,
2025-02-18 21:58:54,,16.83
2025-02-18 23:56:38,15.63,
2025-02-18 23:58:53,,15.6
2025-02-19 01:56:38,15.25,
2025-02-19 01:58:54,,15.29
2025-02-19 03:56:38,14.99,
2025-02-19 03:58:53,,14.96
2025-02-19 05:56:38,14.59,
2025-02-19 05:58:53,,14.62
2025-02-19 07:56:38,14.75,
2025-02-19 07:58:54,,14.75
2025-02-19 09:56:39,17.07,
2025-02-19 09:58:54,,17.12
2025-02-19 11:56:38,21.2,
2025-02-19 11:58:53,,21.24
2025-02-19 13:56:38,22.94,
2025-02-19 13:58:53,,22.94
2025-02-19 15:56:38,22.56,
2025-02-19 15:58:53,,22.54
2025-02-19 17:56:38,25.03,
2025-02-19 17:58:53,,25.02
2025-02-19 19:56:38,21.46,
2025-02-19 19:58:54,,21.38
2025-02-19 21:56:37,18.61,
2025-02-19 21:58:53,,18.6
2025-02-19 23:56:38,17.41,
2025-02-19 23:58:53,,17.39
2025-02-20 01:56:38,17.15,
2025-02-20 01:58:54,,17.12
2025-02-20 03:56:37,16.83,
2025-02-20 03:58:53,,16.86
2025-02-20 05:56:38,16.87,
2025-02-20 05:58:54,,16.94
2025-02-20 07:56:38,16.51,
2025-02-20 07:58:53,,16.53
2025-02-20 09:56:37,18.73,
2025-02-20 09:58:53,,18.8
2025-02-20 11:56:37,21.91,
2025-02-20 11:58:53,,21.98
2025-02-20 13:56:38,23.02,
2025-02-20 13:58:54,,23.03
2025-02-20 15:56:38,22.22,
2025-02-20 15:58:54,,22.2
2025-02-20 17:56:38,23.88,
2025-02-20 17:58:53,,23.8
2025-02-20 19:56:37,20.98,
2025-02-20 19:58:53,,20.95
2025-02-20 21:56:38,19.34,
2025-02-20 21:58:54,,19.32
2025-02-20 23:56:38,18.25,
2025-02-20 23:58:53,,18.22
2025-02-21 01:56:38,17.89,
2025-02-21 01:58:54,,17.78
2025-02-21 03:56:38,17.72,
2025-02-21 03:58:53,,17.64
2025-02-21 05:56:38,17.11,
2025-02-21 05:58:53,,17.17
2025-02-21 07:56:38,16.41,
2025-02-21 07:58:53,,16.41
2025-02-21 09:56:37,18.65,
2025-02-21 09:58:53,,18.7
2025-02-21 11:56:38,21.54,
2025-02-21 11:58:54,,21.57
2025-02-21 13:56:38,22.64,
2025-02-21 13:58:54,,22.62
2025-02-21 15:56:38,22.3,
2025-02-21 15:58:53,,22.29
2025-02-21 17:56:38,23.3,
2025-02-21 17:58:53,,23.26
2025-02-21 19:56:38,20.22,
2025-02-21 19:58:53,,20.18
2025-02-21 21:56:38,18.38,
2025-02-21 21:58:53,,18.37
2025-02-21 23:56:38,17.63,
2025-02-21 23:58:54,,17.61
2025-02-22 01:56:38,17.11,
2025-02-22 01:58:53,,17.09
2025-02-22 03:56:38,17.56,
2025-02-22 03:58:54,,17.55
2025-02-22 05:56:38,16.79,
2025-02-22 05:58:54,,16.78
2025-02-22 07:56:38,16.19,
2025-02-22 07:58:54,,16.18
2025-02-22 09:56:38,18.46,
2025-02-22 09:58:54,,18.55
2025-02-22 11:56:38,20.76,
2025-02-22 11:58:54,,20.81
2025-02-22 13:56:38,21.57,
2025-02-22 13:58:53,,21.57
2025-02-22 15:56:38,21.57,
2025-02-22 15:58:54,,21.55
2025-02-22 17:56:38,25.17,
2025-02-22 17:58:54,,25.14
2025-02-22 19:56:38,20.13,
2025-02-22 19:58:53,,20.07
2025-02-22 21:56:37,17.12,
2025-02-22 21:58:53,,17.09
2025-02-22 23:56:38,15.92,
2025-02-22 23:58:54,,15.88
2025-02-23 01:56:38,15.44,
2025-02-23 01:58:54,,15.43
2025-02-23 03:56:37,15.59,
2025-02-23 03:58:53,,15.6
2025-02-23 05:56:38,15.91,
2025-02-23 05:58:53,,15.91
2025-02-23 07:56:38,16.31,
2025-02-23 07:58:53,,16.36
2025-02-23 09:56:38,18.55,
2025-02-23 09:58:54,,18.58
2025-02-23 11:56:38,20.84,
2025-02-23 11:58:54,,20.88
2025-02-23 13:56:38,21.56,
2025-02-23 13:58:53,,21.58
2025-02-23 15:56:38,21.7,
2025-02-23 15:58:53,,21.71
2025-02-23 17:56:38,23.63,
2025-02-23 17:58:54,,23.56
2025-02-23 19:56:38,20.4,
2025-02-23 19:58:53,,20.36
2025-02-23 21:56:38,17.67,
2025-02-23 21:58:54,,17.66
2025-02-23 23:56:38,16.73,
2025-02-23 23:58:54,,16.71
2025-02-24 01:56:38,16.19,
2025-02-24 01:58:54,,16.18
2025-02-24 03:56:38,16.07,
2025-02-24 03:58:54,,16.08
2025-02-24 05:56:37,16.21,
2025-02-24 05:58:53,,16.21
2025-02-24 07:56:38,16.46,
2025-02-24 07:58:53,,16.47
2025-02-25 13:57:46,22.81,
2025-02-25 14:00:02,,22.79
2025-02-25 14:56:40,22.69,
2025-02-25 14:58:56,,22.7
2025-02-25 16:10:24,18.02,
2025-02-25 16:12:40,,4.355
2025-02-25 17:09:19,17.77,
2025-02-25 17:11:35,,18.01
2025-02-25 18:08:14,16.59,
2025-02-25 18:10:29,,17.5
2025-02-25 19:07:08,16.03,
2025-02-25 19:09:24,,16.01
2025-02-25 20:06:03,14.73,
2025-02-25 20:08:18,,14.83
2025-02-25 21:04:57,14.04,
2025-02-25 21:07:12,,13.93
2025-02-25 22:03:51,13.02,
2025-02-25 22:06:07,,13.34
2025-02-25 23:02:46,12.73,
2025-02-25 23:05:01,,4.106
2025-02-26 00:01:40,11.82,
2025-02-26 00:03:56,,12.09
2025-02-26 01:00:35,11.82,
2025-02-26 01:02:50,,11.89
2025-02-26 01:59:29,11.42,
2025-02-26 02:01:45,,11.39
2025-02-26 02:58:24,10.85,
2025-02-26 03:00:40,,10.94
2025-02-26 04:01:55,11.26,
2025-02-26 04:04:11,,11.17
2025-02-26 05:00:49,10.77,
2025-02-26 05:03:05,,10.77
2025-02-26 05:59:43,10.75,
2025-02-26 06:01:59,,10.82
2025-02-26 06:58:38,10.46,
2025-02-26 07:00:53,,10.7
2025-02-26 07:57:32,10.3,
2025-02-26 07:59:48,,10.58
2025-02-26 08:56:27,14.49,
2025-02-26 08:58:42,,15.66
2025-02-26 09:55:21,25.3,
2025-02-26 09:57:37,,26.3
2025-02-26 10:54:16,24.68,
2025-02-26 10:56:31,,25.29
2025-02-26 11:53:11,25.32,
2025-02-26 11:55:26,,32.87
2025-02-26 12:52:05,46.95,
2025-02-26 12:54:21,,46.95
2025-02-26 13:51:00,46.07,
2025-02-26 13:53:15,,46.14
2025-02-26 14:49:55,43.83,
2025-02-26 14:52:10,,43.07
2025-02-26 15:53:25,36.01,
2025-02-26 15:55:41,,38.94
2025-02-26 16:52:20,31.53,
2025-02-26 16:54:35,,28.95
2025-02-26 17:51:15,26.15,
2025-02-26 17:53:30,,26.1
2025-02-26 18:50:09,21.82,
2025-02-26 18:52:25,,22.04
2025-02-26 19:49:04,24.04,
2025-02-26 19:51:20,,23.92
2025-02-26 20:47:59,23.23,
2025-02-26 20:50:15,,23.32
2025-02-26 21:46:54,28.16,
2025-02-26 21:49:10,,22.66
2025-02-26 22:45:49,20.87,
2025-02-26 22:48:05,,23.31
2025-02-26 23:44:44,20.67,
2025-02-26 23:47:00,,19.81
2025-02-27 00:43:39,16.48,
2025-02-27 00:45:54,,18.12
2025-02-27 01:42:34,15.17,
2025-02-27 01:44:49,,14.97
2025-02-27 02:41:29,18.63,
2025-02-27 02:43:45,,18.29
2025-02-27 03:45:00,18.13,
2025-02-27 03:47:16,,18.43
2025-02-27 04:43:55,13.76,
2025-02-27 04:46:11,,13.74
2025-02-27 05:42:50,18.03,
2025-02-27 05:45:06,,18.2
2025-02-27 06:41:45,17.86,
2025-02-27 06:44:01,,15.8
2025-02-27 07:40:40,12.74,
2025-02-27 07:42:56,,12.95
2025-02-27 08:39:35,17.51,
2025-02-27 08:41:51,,17.02
2025-02-27 09:38:30,18.96,
2025-02-27 09:40:46,,17.88
2025-02-27 10:37:25,19.31,
2025-02-27 10:39:41,,18.73
2025-02-27 11:36:20,20.77,
2025-02-27 11:38:36,,19.8
2025-02-27 12:35:15,22.19,
2025-02-27 12:37:31,,22.31
2025-02-27 13:34:10,20.88,
2025-02-27 13:36:26,,21.38
2025-02-27 14:33:05,22.64,
2025-02-27 14:35:21,,22.85
2025-02-27 15:36:35,22.42,
2025-02-27 15:38:51,,21.68
2025-02-27 16:35:30,20.34,
2025-02-27 16:37:46,,20.85
2025-02-27 17:34:25,23.96,
2025-02-27 17:36:41,,24.34
2025-02-27 18:33:20,22.27,
2025-02-27 18:35:36,,23.14
2025-02-27 19:32:15,22.21,
2025-02-27 19:34:31,,21.49
2025-02-27 20:31:10,20.63,
2025-02-27 20:33:26,,20.7
2025-02-27 21:30:05,19.76,
2025-02-27 21:32:20,,18.63
2025-02-27 22:29:00,17.64,
2025-02-27 22:31:15,,17.63
2025-02-27 23:27:55,16.74,
2025-02-27 23:30:10,,16.78
2025-02-28 00:26:50,14.59,
2025-02-28 00:29:05,,2.331
2025-02-28 01:25:44,13.08,
2025-02-28 01:28:00,,13.23
2025-02-28 02:24:39,13.13,
2025-02-28 02:26:55,,13.14
2025-02-28 03:28:10,12.51,
2025-02-28 03:30:26,,12.45
2025-02-28 04:27:05,12.41,
2025-02-28 04:29:20,,12.45
2025-02-28 05:26:00,11.9,
2025-02-28 05:28:15,,12.09
2025-02-28 06:24:54,11.75,
2025-02-28 06:27:10,,11.86
2025-02-28 07:23:49,11.51,
2025-02-28 07:26:05,,11.59
2025-02-28 08:22:44,11.91,
2025-02-28 08:25:00,,11.96
2025-02-28 09:21:39,12.64,
2025-02-28 09:23:55,,12.45
2025-02-28 10:20:34,12.54,
2025-02-28 10:22:50,,12.67
2025-02-28 11:19:29,14.99,
2025-02-28 11:21:45,,15.31
2025-02-28 12:18:24,17.22,
2025-02-28 12:20:40,,17.53
2025-02-28 13:17:19,18.73,
2025-02-28 13:19:35,,18.63
2025-02-28 14:16:14,20.24,
2025-02-28 14:18:29,,20.01
2025-02-28 15:19:44,19.73,
2025-02-28 15:22:00,,19.52
2025-02-28 16:18:40,20.41,
2025-02-28 16:20:55,,19.96
2025-02-28 17:17:35,22.86,
2025-02-28 17:19:50,,21.93
2025-02-28 18:16:29,18.19,
2025-02-28 18:18:45,,18.2
2025-02-28 19:15:25,16.17,
2025-02-28 19:17:40,,16.11
2025-02-28 20:14:20,14.47,
2025-02-28 20:16:35,,14.85
2025-02-28 21:13:15,13.55,
2025-02-28 21:15:31,,13.5
2025-02-28 22:12:10,12.53,
2025-02-28 22:14:25,,12.44
2025-02-28 23:11:05,11.84,
2025-02-28 23:13:20,,11.85
